state,Year,Quater,categories,type,count,amount
andaman-&-nicobar-islands,2022,Q2,Peer-to-peer payments,TOTAL,437606,2088309073.4552848
andaman-&-nicobar-islands,2022,Q2,Recharge & bill payments,TOTAL,179515,82232936.61795366
andaman-&-nicobar-islands,2022,Q2,Financial Services,TOTAL,1448,2089862.3927160464
andaman-&-nicobar-islands,2022,Q2,Others,TOTAL,3108,2449496.7081265687
andaman-&-nicobar-islands,2022,Q3,Merchant payments,TOTAL,716105,693438186.296541
andaman-&-nicobar-islands,2022,Q3,Peer-to-peer payments,TOTAL,622217,2514535154.56483
andaman-&-nicobar-islands,2022,Q3,Recharge & bill payments,TOTAL,240766,97748065.62714244
andaman-&-nicobar-islands,2022,Q3,Financial Services,TOTAL,1814,2166304.9779766416
andaman-&-nicobar-islands,2022,Q3,Others,TOTAL,3477,2744060.670897343
andaman-&-nicobar-islands,2022,Q4,Merchant payments,TOTAL,956536,906365300.658504
andaman-&-nicobar-islands,2022,Q4,Peer-to-peer payments,TOTAL,768758,2961630584.8271317
andaman-&-nicobar-islands,2022,Q4,Recharge & bill payments,TOTAL,256050,110037119.66941178
andaman-&-nicobar-islands,2022,Q4,Financial Services,TOTAL,2499,3533987.230113048
andaman-&-nicobar-islands,2022,Q4,Others,TOTAL,3692,3107412.043626394
andaman-&-nicobar-islands,2023,Q1,Merchant payments,TOTAL,1122063,1008821751.0
andaman-&-nicobar-islands,2023,Q1,Peer-to-peer payments,TOTAL,862347,3299762230.0
andaman-&-nicobar-islands,2023,Q1,Recharge & bill payments,TOTAL,286024,146338470.0
andaman-&-nicobar-islands,2023,Q1,Financial Services,TOTAL,2515,3556954.0
andaman-&-nicobar-islands,2023,Q1,Others,TOTAL,3443,3049182.0
andaman-&-nicobar-islands,2023,Q2,Merchant payments,TOTAL,1410653,1159905474.0
andaman-&-nicobar-islands,2023,Q2,Peer-to-peer payments,TOTAL,970525,3664415887.0
andaman-&-nicobar-islands,2023,Q2,Recharge & bill payments,TOTAL,320922,158455723.0
andaman-&-nicobar-islands,2023,Q2,Financial Services,TOTAL,2158,4161814.0
andaman-&-nicobar-islands,2023,Q2,Others,TOTAL,3517,3405338.0
andhra-pradesh,2018,Q1,Recharge & bill payments,TOTAL,5027448,892293975.6698562
andhra-pradesh,2018,Q1,Peer-to-peer payments,TOTAL,3049646,10524250283.178782
andhra-pradesh,2018,Q1,Merchant payments,TOTAL,362672,247297640.2400069
andhra-pradesh,2018,Q1,Financial Services,TOTAL,204305,44808449.7639544
andhra-pradesh,2018,Q1,Others,TOTAL,395514,287626042.970705
andhra-pradesh,2018,Q2,Recharge & bill payments,TOTAL,6456387,1598591488.4880352
andhra-pradesh,2018,Q2,Peer-to-peer payments,TOTAL,4745000,20451493098.8953
andhra-pradesh,2018,Q2,Merchant payments,TOTAL,604847,436785223.8603296
andhra-pradesh,2018,Q2,Financial Services,TOTAL,225621,68952114.81374599
andhra-pradesh,2018,Q2,Others,TOTAL,322063,328092346.575651
andhra-pradesh,2018,Q3,Peer-to-peer payments,TOTAL,16129591,32738630444.668724
andhra-pradesh,2018,Q3,Recharge & bill payments,TOTAL,7542005,1949098146.8941927
andhra-pradesh,2018,Q3,Merchant payments,TOTAL,1225416,685277254.5076212
andhra-pradesh,2018,Q3,Financial Services,TOTAL,380324,60790077.57437308
andhra-pradesh,2018,Q3,Others,TOTAL,348725,284248675.5700202
andhra-pradesh,2018,Q4,Peer-to-peer payments,TOTAL,17580086,47011639726.13608
andhra-pradesh,2018,Q4,Recharge & bill payments,TOTAL,9767083,2418164314.470957
andhra-pradesh,2018,Q4,Merchant payments,TOTAL,2622131,1671585888.568256
andhra-pradesh,2018,Q4,Financial Services,TOTAL,400837,57178116.40322068
andhra-pradesh,2018,Q4,Others,TOTAL,389411,315211361.26249415
andhra-pradesh,2019,Q1,Peer-to-peer payments,TOTAL,37420988,77524329742.2595
andhra-pradesh,2019,Q1,Recharge & bill payments,TOTAL,14022264,3480641602.3771377
andhra-pradesh,2019,Q1,Merchant payments,TOTAL,5043682,2423536770.3706346
andhra-pradesh,2019,Q1,Financial Services,TOTAL,416325,47150177.52982048
andhra-pradesh,2019,Q1,Others,TOTAL,361263,284937624.5393019
andhra-pradesh,2019,Q2,Peer-to-peer payments,TOTAL,32494402,103924649232.4702
andhra-pradesh,2019,Q2,Recharge & bill payments,TOTAL,14093964,4708345387.9101095
andhra-pradesh,2019,Q2,Merchant payments,TOTAL,9226537,4613405202.681959
